column,null_count,null_pct
2025,266,100.0
IncomeGroup,51,19.17
Region,49,18.42
1963,3,1.13
1964,3,1.13
1960,3,1.13
1965,3,1.13
1962,2,0.75
1980,2,0.75
1981,2,0.75
1982,2,0.75
1983,2,0.75
1961,2,0.75
1968,2,0.75
1966,2,0.75
1967,2,0.75
1972,2,0.75
1973,2,0.75
1974,2,0.75
1975,2,0.75
1976,2,0.75
1969,2,0.75
1970,2,0.75
1971,2,0.75
1988,2,0.75
1989,2,0.75
1978,2,0.75
1979,2,0.75
1984,2,0.75
1985,2,0.75
1986,2,0.75
1987,2,0.75
1977,2,0.75
1994,1,0.38
1993,1,0.38
1996,1,0.38
1995,1,0.38
1992,1,0.38
1990,1,0.38
1991,1,0.38
2011,1,0.38
2010,1,0.38
2009,1,0.38
2012,1,0.38
2000,1,0.38
1997,1,0.38
1998,1,0.38
1999,1,0.38
2004,1,0.38
2005,1,0.38
2006,1,0.38
2007,1,0.38
2008,1,0.38
2001,1,0.38
2002,1,0.38
2003,1,0.38
2019,1,0.38
2018,1,0.38
2017,1,0.38
2020,1,0.38
2016,1,0.38
2013,1,0.38
2014,1,0.38
2015,1,0.38
2023,1,0.38
2022,1,0.38
2021,1,0.38
2024,1,0.38
Country Name,0,0.0
Country Code,0,0.0
Indicator Name,0,0.0
Indicator Code,0,0.0
